name,phone,email,city
MOTORHEX S.A.S,3002022460,info@motorhex.com,Bucaramanga
VITELSA S.A,3174326570,sales@vitelsa.com.co,Bogotá
DECORHOUSE,3333333,info@DECORHOUSE.COM,Bucaramanga
HC INGENIERIA,230302,hc@hcing.com,orlando
UBER,99999,LICI@UBER.COM,San Francisco
RAPPI,111111,comercial@rappi.com,bogota
SAN MARZANO,00000000292,info@sanmarzano.com,bucaramanga
AMAZON,4343434,info@amazon.com,Seattle
LINIO,29929292,info@linio.com,bogota
TRADING JUANMA,383288383,juan@trading.com,San Francisco
TRADING JJ,303239293,juanj@trading.com,Miami
TRADING PUDJJ,929293,pudjj@trading.com,Seattle
HYG CONSTRUCCIONES,21324,info@hyg.com,Bucara
EMPRO,2030403,german@empro.com,miami
